Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Category,Product,Quantity,Sales,Discount,Profit,Payment_Mode
ORD_00001,2025-01-02,CUS_00001,Customer_078,Jaipur,Rajasthan,Clothing,Jeans,4,7679.33,5,748.8,Net Banking
ORD_00002,2025-01-02,CUS_00002,Customer_132,Jaipur,Rajasthan,Home & Kitchen,Air Fryer,3,18610.35,15,1608.81,Credit Card
ORD_00003,2025-01-02,CUS_00003,Customer_016,Warangal,Telangana,Clothing,T-Shirt,3,2239.11,10,376.15,Credit Card
ORD_00004,2025-01-02,CUS_00004,Customer_117,Pune,Maharashtra,Furniture,Bookshelf,1,5272.24,15,444.82,Net Banking
ORD_00005,2025-01-02,CUS_00005,Customer_097,Hyderabad,Telangana,Electronics,Smartwatch,1,4340.4,15,826.82,UPI
ORD_00006,2025-01-03,CUS_00006,Customer_007,Madurai,Tamil Nadu,Furniture,Sofa,2,42539.95,10,4274.73,Debit Card
ORD_00007,2025-01-03,CUS_00007,Customer_009,Mysuru,Karnataka,Furniture,Bookshelf,3,15399.12,5,3108.6,Net Banking
ORD_00008,2025-01-04,CUS_00008,Customer_029,Bengaluru,Karnataka,Furniture,Bookshelf,3,15830.37,5,1294.73,UPI
ORD_00009,2025-01-06,CUS_00009,Customer_060,Vadodara,Gujarat,Furniture,Study Table,5,36825.9,20,4674.03,Net Banking
ORD_00010,2025-01-07,CUS_00010,Customer_055,Mangaluru,Karnataka,Furniture,Office Chair,2,10130.64,20,1199.07,Cash on Delivery
ORD_00011,2025-01-07,CUS_00011,Customer_072,Gurugram,Delhi,Home & Kitchen,Bedsheet,2,2800.79,10,420.97,Debit Card
ORD_00012,2025-01-07,CUS_00012,Customer_125,Nizamabad,Telangana,Furniture,Study Table,5,39843.39,10,3028.79,Net Banking
ORD_00013,2025-01-08,CUS_00013,Customer_053,Nagpur,Maharashtra,Home & Kitchen,Bedsheet,3,4789.92,0,1071.62,Debit Card
ORD_00014,2025-01-09,CUS_00014,Customer_148,Vadodara,Gujarat,Home & Kitchen,Mixer Grinder,3,11169.66,15,2060.54,Cash on Delivery
ORD_00015,2025-01-09,CUS_00015,Customer_123,Nagpur,Maharashtra,Furniture,Study Table,4,28556.4,10,2137.27,UPI
ORD_00016,2025-01-13,CUS_00016,Customer_125,Ahmedabad,Gujarat,Furniture,Sofa,4,82129.32,15,9942.9,Cash on Delivery
ORD_00017,2025-01-13,CUS_00017,Customer_084,Jaipur,Rajasthan,Clothing,T-Shirt,4,3786.59,0,380.66,Net Banking
ORD_00018,2025-01-15,CUS_00018,Customer_047,Noida,Delhi,Home & Kitchen,Bedsheet,1,1020.48,15,236.89,UPI
ORD_00019,2025-01-16,CUS_00019,Customer_039,Gurugram,Delhi,Clothing,Jeans,1,1557.28,10,389.18,Net Banking
ORD_00020,2025-01-16,CUS_00020,Customer_119,Nizamabad,Telangana,Electronics,Smartwatch,3,14212.74,15,2813.36,UPI
ORD_00021,2025-01-18,CUS_00021,Customer_019,Mangaluru,Karnataka,Furniture,Sofa,5,91299.37,20,13184.85,UPI
